Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Railway-Ticket-Booking-System,Admin,Add,1,0,4,4,193,14,0,0,1.0,2,0,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Railway-Ticket-Booking-System\Project\Admin\Add.java,24
Railway-Ticket-Booking-System,Admin,AddAdmin,1,0,4,4,98,8,0,0,1.0,1,0,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Railway-Ticket-Booking-System\Project\Admin\AddAdmin.java,23
Railway-Ticket-Booking-System,Admin,AdminHome,2,0,7,7,93,9,0,0,1.0,1,4,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Railway-Ticket-Booking-System\Project\Admin\AdminHome.java,36
Railway-Ticket-Booking-System,Admin,AdminLogin,10,0,5,5,122,9,0,0,0.8,2,2,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Railway-Ticket-Booking-System\Project\Admin\AdminLogin.java,23
Railway-Ticket-Booking-System,Admin,Home,2,0,3,3,78,5,0,0,1.0,1,0,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Railway-Ticket-Booking-System\Project\Admin\Home.java,16
Railway-Ticket-Booking-System,User,UserLogin,8,0,5,5,77,5,0,0,1.0,1,2,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Railway-Ticket-Booking-System\Project\User\UserLogin.java,17
