Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Railway-Ticket-Booking-System,Admin,AdminHome,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: UserLogin; AdminLogin; AdminHome
Railway-Ticket-Booking-System,User,UserLogin,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: UserLogin; AdminLogin; AdminHome
