Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
WeatherStackApp,com.weatherstack.app,WeatherApp,1,0,2,2,29,2,0,0,0.0,1,0,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\WeatherStackApp\src\com\weatherstack\app\WeatherApp.java,23
WeatherStackApp,com.weatherstack.app,WeatherAppGUI,5,0,3,3,57,3,0,0,0.6666666666666666,0,1,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\WeatherStackApp\src\com\weatherstack\app\WeatherAppGUI.java,19
