Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Stadium-Management-Sytem,Stedium_Management,AdminLogin,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: User_host; MainScreen; AdminLogin; Admin_host; Userlogin; Create_ac
Stadium-Management-Sytem,Stedium_Management,Userlogin,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.8571428571428571
